Nomination ID,SurveyName,Canopy School ID,Governance Descriptor (from Nominations) (from Official School Name)
Nominator_2024-10_Transcend_Science and Math Institute,Nominator_2024-10,178,"Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2020-08_Transcend_Science and Math Institute,Nominator_2020-08,178,"Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2019-03_Global Teaching Project_Scott Central High School,Nominator_2019-03,179,Public district school
Nominator_2021-12_NewSchools Venture Fund_SEEQS: the School for Examining Essential Questions of Sustainability,Nominator_2021-12,180,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_PBLWorks_SEEQS: the School for Examining Essential Questions of Sustainability,Nominator_2019-03,180,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2025-10_Transcend_SEEQS: the School for Examining Essential Questions of Sustainability,Nominator_2025-10,180,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Public Impact_Shamrock Garden Elementary School,Nominator_2019-03,181,
Nominator_2019-03_Raise Your Hand Texas_Shannon High School,Nominator_2019-03,182,
Nominator_2019-03_Oklahoma Department of Education_Shawnee High School,Nominator_2019-03,183,Public district school
Nominator_2019-03_Arkansas Team Digital_Siloam Springs High School Conversion Charter,Nominator_2019-03,184,Public charter school
Nominator_2019-03_Colorado Education Initiative_Silverton School,Nominator_2019-03,185,Public district school
Nominator_2019-03_228 Accelerator_Sinai Elementary School,Nominator_2019-03,186,Public district school
Nominator_2019-03_Philanthropy Roundtable_Sisu Academy,Nominator_2019-03,187,
Nominator_2019-03_Colorado Education Initiative_Soaring Heights Pk-8,Nominator_2019-03,188,
Nominator_2019-03_Center for Teaching Quality_Social Justice Humanitas Academy,Nominator_2019-03,189,"Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Education Evolving_Social Justice Humanitas Academy,Nominator_2019-03,189,"Public charter school, Public charter school, Public charter school"
Nominator_2021-12_Transcend_Social Justice Humanitas Academy,Nominator_2021-12,189,"Public charter school, Public charter school, Public charter school"
Nominator_2022-11_4.0 Schools_The Social Justice School,Nominator_2022-11,190,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-11_228 Accelerator_The Social Justice School,Nominator_2020-11,190,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-08_228 Accelerator_The Social Justice School,Nominator_2020-08,190,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_Center on Reinventing Public Education_The Social Justice School,Nominator_2022-11,190,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_National Charter Collaborative_The Social Justice School,Nominator_2019-03,190,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_NewSchools Venture Fund_The Social Justice School,Nominator_2022-11,190,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2025-10_NewSchools Venture Fund_The Social Justice School,Nominator_2025-10,190,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Bellwether Education Partners_Solar Preparatory School for Girls,Nominator_2019-03,191,"Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2019-03_NewSchools Venture Fund_Solar Preparatory School for Girls,Nominator_2019-03,191,"Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2021-12_NewSchools Venture Fund_Solar Preparatory School for Girls,Nominator_2021-12,191,"Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2022-11_NewSchools Venture Fund_Solar Preparatory School for Girls,Nominator_2022-11,191,"Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2025-10_NewSchools Venture Fund_Solar Preparatory School for Girls,Nominator_2025-10,191,"Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2019-03_Digital Learning Institute_South Rowan High School,Nominator_2019-03,192,Public district school
Nominator_2019-03_The Friday Institute_South Rowan High School,Nominator_2019-03,192,Public district school
Nominator_2019-03_Center for Assessment_Souhegan Coop High School,Nominator_2019-03,193,"Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2019-03_Center for Secondary School Redesign_Souhegan Coop High School,Nominator_2019-03,193,"Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2024-10_Center on Reinventing Public Education_Souhegan Coop High School,Nominator_2024-10,193,"Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2019-03_New Hampshire Learning Initiative_Souhegan Coop High School,Nominator_2019-03,193,"Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2020-11_New Hampshire Learning Initiative_Souhegan Coop High School,Nominator_2020-11,193,"Public district school, Public district school, Public district school, Public district school, Public district school"
Nominator_2019-03_Alliance for Catholic Education_St. Alphonsus Catholic School,Nominator_2019-03,194,Independent (private) school
Nominator_2021-12_Center for Black Educator Development_Statesmen College Preparatory Academy for Boys PCS,Nominator_2021-12,195,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Digital Promise_Statesmen College Preparatory Academy for Boys PCS,Nominator_2019-03,195,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_NewSchools Venture Fund_Statesmen College Preparatory Academy for Boys PCS,Nominator_2022-11,195,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_Oklahoma Department of Education_Stilwell High School,Nominator_2019-03,196,Public district school
Nominator_2019-03_Educurious_Rocky Mountain Prep - RISE,Nominator_2019-03,197,Public charter school
Nominator_2019-03_Arkansas Team Digital_Stuttgart Junior High School,Nominator_2019-03,198,Public district school
Nominator_2020-11_Arkansas Team Digital_Stuttgart Junior High School,Nominator_2020-11,198,Public district school
Nominator_2019-03_Populace_Summit Prep,Nominator_2019-03,199,NA
Nominator_2019-03_Illinois State Board of Education_Taft Primary School,Nominator_2019-03,200,Public district school
Nominator_2019-03_Evergreen Education Group_Taos Academy Charter School,Nominator_2019-03,201,Public charter school
Nominator_2019-03_Educurious_Temple View Elementary,Nominator_2019-03,202,
Nominator_2019-03_228 Accelerator_The Creative School,Nominator_2019-03,203,Public district school
Nominator_2019-03_EdSurge_The Creative School,Nominator_2019-03,203,Public district school
Nominator_2020-08_Big Picture Learning_The Metropolitan Regional Career and Technical Center,Nominator_2020-08,204,"Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school"
Nominator_2022-11_Big Picture Learning_The Metropolitan Regional Career and Technical Center,Nominator_2022-11,204,"Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school"
Nominator_2019-03_Education Reimagined_The Metropolitan Regional Career and Technical Center,Nominator_2019-03,204,"Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school"
Nominator_2021-12_GreatSchools_The Metropolitan Regional Career and Technical Center,Nominator_2021-12,204,"Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school"
Nominator_2019-03_Populace_The Metropolitan Regional Career and Technical Center,Nominator_2019-03,204,"Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school"
Nominator_2021-12_The Learning Accelerator_The Metropolitan Regional Career and Technical Center,Nominator_2021-12,204,"Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school"
Nominator_2024-10_Transcend_The Metropolitan Regional Career and Technical Center,Nominator_2024-10,204,"Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school, Public charter school, Public district school, Public district school, Public district school"
Nominator_2020-08_Big Picture Learning_The NET Charter High School: Gentilly,Nominator_2020-08,205,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_Big Picture Learning_The NET Charter High School: Gentilly,Nominator_2022-11,205,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_EdSurge_The NET Charter High School: Gentilly,Nominator_2019-03,205,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-08_YouthForce Nola_The NET Charter High School: Gentilly,Nominator_2020-08,205,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_[Closed] Competency Collaborative_The Young Women's Leadership School of Astoria,Nominator_2019-03,206,Public district school
Nominator_2019-03_Center for Secondary School Redesign_Don Tyson School of Innovation,Nominator_2019-03,207,
Nominator_2019-03_Evergreen Education Group_TRIO Wolf Creek Distance Learning Charter School,Nominator_2019-03,208,"Public charter school, Public charter school"
Nominator_2021-12_TRIO Wolf Creek Distance Learning Charter School_TRIO Wolf Creek Distance Learning Charter School,Nominator_2021-12,208,"Public charter school, Public charter school"
Nominator_2021-12_Center on Reinventing Public Education_Two Rivers Public Charter School: 4th Street Campus,Nominator_2021-12,209,"Public charter school, Public charter school"
Nominator_2019-03_EdSurge_Two Rivers Public Charter School: 4th Street Campus,Nominator_2019-03,209,"Public charter school, Public charter school"
Nominator_2019-03_Education Evolving_UCLA Community School,Nominator_2019-03,210,"Public district school, Public district school, Public district school, Public district school"
Nominator_2020-08_Education Evolving_UCLA Community School,Nominator_2020-08,210,"Public district school, Public district school, Public district school, Public district school"
Nominator_2025-10_Education Evolving_UCLA Community School,Nominator_2025-10,210,"Public district school, Public district school, Public district school, Public district school"
Nominator_2020-11_Learning Policy Institute_UCLA Community School,Nominator_2020-11,210,"Public district school, Public district school, Public district school, Public district school"
Nominator_2019-03_[Closed] Competency Collaborative_Urban Assembly Maker Academy,Nominator_2019-03,211,Public district school
Nominator_2019-03_reDesign_Urban Assembly Maker Academy,Nominator_2019-03,211,Public district school
Nominator_2019-03_Springpoint Schools_Urban Assembly Maker Academy,Nominator_2019-03,211,Public district school
Nominator_2019-03_Rogers Family Foundation_Urban Montessori Charter School,Nominator_2019-03,212,"Public charter school, Public charter school"
Nominator_2022-11_Rogers Family Foundation_Urban Montessori Charter School,Nominator_2022-11,212,"Public charter school, Public charter school"
Nominator_2019-03_EdVisions_Valley New School,Nominator_2019-03,213,"Public charter school, Public charter school"
Nominator_2025-10_Transcend_Valley New School,Nominator_2025-10,213,"Public charter school, Public charter school"
Nominator_2019-03_Institute for Personalized Learning_Valley View Middle School,Nominator_2019-03,214,
Nominator_2019-03_The Learning Accelerator_Valor Flagship Academy,Nominator_2019-03,215,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2024-10_Transcend_Valor Flagship Academy,Nominator_2024-10,215,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2023-11_Transcend_Valor Flagship Academy,Nominator_2023-11,215,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2025-10_Transcend_Valor Flagship Academy,Nominator_2025-10,215,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2025-10_Transcend_Valor Flagship Academy,Nominator_2025-10,215,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_NewSchools Venture Fund_Valor Voyager Academy,Nominator_2019-03,216,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_NewSchools Venture Fund_Valor Voyager Academy,Nominator_2022-11,216,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2025-10_NewSchools Venture Fund_Valor Voyager Academy,Nominator_2025-10,216,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2023-11_Transcend_Valor Voyager Academy,Nominator_2023-11,216,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2019-03_New Hampshire Department of Education_Vilas Elementary School,Nominator_2019-03,217,
Nominator_2019-03_PBLWorks_Waimea Canyon Middle School,Nominator_2019-03,218,Public district school
Nominator_2019-03_Tennessee SCORE_Warren County High School,Nominator_2019-03,219,Public district school
Nominator_2019-03_Charter School Growth Fund_Washington Leadership Academy,Nominator_2019-03,220,Public charter school
Nominator_2019-03_XQ Institute_Washington Leadership Academy,Nominator_2019-03,220,Public charter school
Nominator_2019-03_Institute for Personalized Learning_Waukesha STEM Academy Saratoga Campus,Nominator_2019-03,221,Public charter school
Nominator_2019-03_CA Group Consulting_Weber Elementary,Nominator_2019-03,222,
Nominator_2019-03_[Closed] Competency Collaborative_West Side Collaborative Middle School,Nominator_2019-03,223,Public district school
Nominator_2019-03_Connecticut Center for School Change_West Woods Upper Elementary School,Nominator_2019-03,224,Public district school
Nominator_2019-03_Illinois State Board of Education_Wheeling High School,Nominator_2019-03,225,Public district school
Nominator_2019-03_Education Resources Consortium_White Mountains Regional High School,Nominator_2019-03,226,Public district school
Nominator_2020-11_Education Resources Consortium_White Mountains Regional High School,Nominator_2020-11,226,Public district school
Nominator_2019-03_New Hampshire Department of Education_White Mountains Regional High School,Nominator_2019-03,226,Public district school
Nominator_2019-03_Philanthropy Roundtable_Whittle School,Nominator_2019-03,227,
Nominator_2019-03_Colorado Education Initiative_William Smith High School,Nominator_2019-03,228,Public district school
Nominator_2019-03_Springpoint Schools_William Smith High School,Nominator_2019-03,228,Public district school
Nominator_2019-03_Center for Teaching Quality_Winterboro High School,Nominator_2019-03,229,Public district school
Nominator_2019-03_Microschool Revolution_[Non-Operating School] Workspace Education,Nominator_2019-03,230,Public district school
Nominator_2019-03_Philanthropy Roundtable_[Non-Operating School] Workspace Education,Nominator_2019-03,230,Public district school
Nominator_2019-03_Office of Innovation for Education in Arkansas_Wynne Intermediate School of Innovation,Nominator_2019-03,231,Public district school
Nominator_2019-03_Raise Your Hand Texas_Ysleta Elementary School,Nominator_2019-03,232,Public district school
Nominator_2019-03_Clayton Christensen Institute_Cesar E. Chávez Multicultural Academic Center,Nominator_2019-03,233,Public district school
Nominator_2024-10_Center on Reinventing Public Education_Virtual Learning Academy,Nominator_2024-10,234,"Independent (private) school, Independent (private) school"
Nominator_2019-03_Clayton Christensen Institute_Virtual Learning Academy,Nominator_2019-03,234,"Independent (private) school, Independent (private) school"
Nominator_2019-03_Asia Society_International School of the Americas,Nominator_2019-03,235,Public district school
Nominator_2020-08_Colorado Education Initiative_5280 High School,Nominator_2020-08,236,Public Charter School
Nominator_2020-08_Future Focused Education_ACE Leadership High School,Nominator_2020-08,237,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_Future Focused Education_ACE Leadership High School,Nominator_2022-11,237,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2025-10_National Charter Schools Institute_ACE Leadership High School,Nominator_2025-10,237,"Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-08_Next Generation Learning Challenges_Altona Middle School,Nominator_2020-08,238,Public district school
Nominator_2020-08_Alliance for Catholic Education_Ascension Catholic School,Nominator_2020-08,239,
Nominator_2020-11_Chan Zuckerberg Initiative_Aspen Valley Prep Academy,Nominator_2020-11,240,Public charter school
Nominator_2020-08_Transcend_Aspen Valley Prep Academy,Nominator_2020-08,240,Public charter school
Nominator_2020-08_Duquesne University School of Education_Avonworth High School,Nominator_2020-08,241,Public district school
Nominator_2020-08_Rennie Center_Benjamin Banneker Charter Public School,Nominator_2020-08,242,Public charter school
Nominator_2020-08_Kansas State Department of Education_Bennington Junior-Senior High School,Nominator_2020-08,243,Public district school
Nominator_2020-08_Big Picture Learning_Big Picture Educational Academy,Nominator_2020-08,244,"Public district school, Public district school"
Nominator_2022-11_Big Picture Learning_Big Picture Educational Academy,Nominator_2022-11,244,"Public district school, Public district school"
Nominator_2020-08_Big Picture Learning_Big Picture South Burlington at South Burlington High School,Nominator_2020-08,245,"Public district school, Public district school"
Nominator_2022-11_Big Picture Learning_Big Picture South Burlington at South Burlington High School,Nominator_2022-11,245,"Public district school, Public district school"
Nominator_2020-08_Alliance for Catholic Education_Blessed Sacrament Catholic School,Nominator_2020-08,246,Independent (private) school
Nominator_2020-08_Getting Smart_Blue Valley Center for Advanced Professional Studies (CAPS),Nominator_2020-08,247,"Public district school, Public district school, Public district school, Public district school"
Nominator_2023-11_Transcend_Blue Valley Center for Advanced Professional Studies (CAPS),Nominator_2023-11,247,"Public district school, Public district school, Public district school, Public district school"
Nominator_2024-10_Transcend_Blue Valley Center for Advanced Professional Studies (CAPS),Nominator_2024-10,247,"Public district school, Public district school, Public district school, Public district school"
Nominator_2020-08_Getting Smart_Boston Arts Academy,Nominator_2020-08,248,
Nominator_2020-08_CAST_Brockton High School,Nominator_2020-08,249,Public district school
Nominator_2020-08_Big Picture Learning_Camden BPL Academy,Nominator_2020-08,250,"Public district school, Public district school"
Nominator_2022-11_Big Picture Learning_Camden BPL Academy,Nominator_2022-11,250,"Public district school, Public district school"
Nominator_2020-08_KnowledgeWorks_City of Bridges High School,Nominator_2020-08,251,Independent (private) school
Nominator_2020-08_Open Way Learning_Coastal Leadership Academy,Nominator_2020-08,252,Public charter school
Nominator_2020-08_Alliance for Catholic Education_Community of Saints Regional Catholic School,Nominator_2020-08,253,Independent (private) school
Nominator_2020-08_CAST_ConVal Regional High School,Nominator_2020-08,254,
Nominator_2020-11_New Hampshire Extended Learning Opportunity Network_ConVal Regional High School,Nominator_2020-11,254,
Nominator_2020-08_Education Evolving_Cornerstone Academy for Social Action Middle School (CASA),Nominator_2020-08,255,
Nominator_2023-11_Aurora Institute_Da Vinci RISE High,Nominator_2023-11,256,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2023-11_Center on Reinventing Public Education_Da Vinci RISE High,Nominator_2023-11,256,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2023-11_Getting Smart_Da Vinci RISE High,Nominator_2023-11,256,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2023-11_Next Generation Learning Challenges_Da Vinci RISE High,Nominator_2023-11,256,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-08_Springpoint Schools_Da Vinci RISE High,Nominator_2020-08,256,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_Transcend_Da Vinci RISE High,Nominator_2022-11,256,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2023-11_Transcend_Da Vinci RISE High,Nominator_2023-11,256,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-08_EdSurge_DC International school,Nominator_2020-08,257,"Public charter school, Public charter school"
Nominator_2022-11_NewSchools Venture Fund_DC International school,Nominator_2022-11,257,"Public charter school, Public charter school"
Nominator_2020-11_Aurora Institute_Del Lago Academy,Nominator_2020-11,258,"Public district school, Public district school, Public district school"
Nominator_2020-08_Getting Smart_Del Lago Academy,Nominator_2020-08,258,"Public district school, Public district school, Public district school"
Nominator_2024-10_Transcend_Del Lago Academy,Nominator_2024-10,258,"Public district school, Public district school, Public district school"
Nominator_2020-08_Kansas State Department of Education_Dighton Elementary School,Nominator_2020-08,259,Public district school
Nominator_2020-08_Kansas State Department of Education_Dighton Junior-Senior High School,Nominator_2020-08,260,Public district school
Nominator_2020-08_Getting Smart_DSST: Montview High School,Nominator_2020-08,261,"Public district school, Public district school"
Nominator_2021-12_GreatSchools_DSST: Montview High School,Nominator_2021-12,261,"Public district school, Public district school"
Nominator_2020-08_Big Picture Learning_Durango Big Picture High School,Nominator_2020-08,262,"Public district school, Public district school"
Nominator_2022-11_Big Picture Learning_Durango Big Picture High School,Nominator_2022-11,262,"Public district school, Public district school"
Nominator_2020-08_CAST_Eisenhower Elementary,Nominator_2020-08,263,
Nominator_2020-08_Big Picture Learning_El Centro de Estudiantes,Nominator_2020-08,264,"Public district school, Public district school"
Nominator_2022-11_Big Picture Learning_El Centro de Estudiantes,Nominator_2022-11,264,"Public district school, Public district school"
Nominator_2020-08_EdSurge_Eliza Chappell Elementary School,Nominator_2020-08,265,
Nominator_2020-08_Education Reimagined_[Non-operating school] Embark Education,Nominator_2020-08,266,"Independent (private) school, Independent (private) school, Independent (private) school"
Nominator_2020-08_Moonshot EdVentures_[Non-operating school] Embark Education,Nominator_2020-08,266,"Independent (private) school, Independent (private) school, Independent (private) school"
Nominator_2024-10_Transcend_[Non-operating school] Embark Education,Nominator_2024-10,266,"Independent (private) school, Independent (private) school, Independent (private) school"
Nominator_2020-08_Getting Smart_Energy Institute High School,Nominator_2020-08,267,"Public district school, Public district school"
Nominator_2024-10_Transcend_Energy Institute High School,Nominator_2024-10,267,"Public district school, Public district school"
Nominator_2020-08_Duquesne University School of Education_Environmental Charter School,Nominator_2020-08,268,"Public charter school, Public charter school"
Nominator_2022-11_Remake Learning Network_Environmental Charter School,Nominator_2022-11,268,"Public charter school, Public charter school"
Nominator_2020-08_Education Reimagined_EPIC Academy at Lamoille Union High School,Nominator_2020-08,269,Public district school
Nominator_2020-11_Vermont Learning for the Future_EPIC Academy at Lamoille Union High School,Nominator_2020-11,269,Public district school
Nominator_2020-08_Education Evolving_Escuela Verde,Nominator_2020-08,270,Public charter school
Nominator_2020-08_New Profit_Fugees Academy,Nominator_2020-08,271,
Nominator_2020-08_Clayton Christensen Institute_Fulton Academy of Science and Technology,Nominator_2020-08,272,Public charter school
Nominator_2020-08_EdSurge_Futures Academy,Nominator_2020-08,273,
Nominator_2020-08_Idaho STEM Action Center_Galileo STEM Academy,Nominator_2020-08,274,
Nominator_2020-08_Rural Schools Collaborative_Glenwood Elementary,Nominator_2020-08,275,Public district school
Nominator_2020-08_Getting Smart_Grand Rapids Public Museum School,Nominator_2020-08,276,"Microschool, Public district school, Public district school, Microschool, Public district school, Public district school, Microschool, Public district school, Public district school"
Nominator_2021-12_GreatSchools_Grand Rapids Public Museum School,Nominator_2021-12,276,"Microschool, Public district school, Public district school, Microschool, Public district school, Public district school, Microschool, Public district school, Public district school"
Nominator_2024-10_Place Network of Teton Science Schools_Grand Rapids Public Museum School,Nominator_2024-10,276,"Microschool, Public district school, Public district school, Microschool, Public district school, Public district school, Microschool, Public district school, Public district school"
Nominator_2020-08_Springpoint Schools_Grand Rapids Public Museum School,Nominator_2020-08,276,"Microschool, Public district school, Public district school, Microschool, Public district school, Public district school, Microschool, Public district school, Public district school"
Nominator_2024-10_Transcend_Grand Rapids Public Museum School,Nominator_2024-10,276,"Microschool, Public district school, Public district school, Microschool, Public district school, Public district school, Microschool, Public district school, Public district school"
Nominator_2020-08_Overdeck Family Foundation_Great Oaks Legacy Charter School,Nominator_2020-08,277,
Nominator_2020-08_Big Picture Learning_Greater Egleston High School,Nominator_2020-08,278,"Public district school, Public district school"
Nominator_2022-11_Big Picture Learning_Greater Egleston High School,Nominator_2022-11,278,"Public district school, Public district school"
Nominator_2020-08_Office of Innovation for Education in Arkansas_Happy Hollow Elementary School,Nominator_2020-08,279,Public district school
Nominator_2020-08_Colorado Education Initiative_Harrison High School,Nominator_2020-08,280,Public district school
Nominator_2020-08_Future Focused Education_Health Leadership High School,Nominator_2020-08,281,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_Future Focused Education_Health Leadership High School,Nominator_2022-11,281,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2025-10_National Charter Schools Institute_Health Leadership High School,Nominator_2025-10,281,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2022-11_San Diego Metropolitan Career and Technical High School_Health Leadership High School,Nominator_2022-11,281,"Public charter school, Public charter school, Public charter school, Public charter school, Public charter school, Public charter school"
Nominator_2020-08_CAST_Henry Ford Academy,Nominator_2020-08,282,
Nominator_2020-08_Getting Smart_Highland Academy Charter School,Nominator_2020-08,283,Public charter school
Nominator_2020-08_Education Reimagined_Highlands Micro School,Nominator_2020-08,284,Independent (private) school
Nominator_2020-08_Open Way Learning_Hillbrook School,Nominator_2020-08,285,
Nominator_2020-08_Getting Smart_Huntley High School,Nominator_2020-08,286,
Nominator_2020-08_EdSurge_Ida B. Wells Middle School,Nominator_2020-08,287,N/A
Nominator_2020-08_Getting Smart_iLEAD Exploration,Nominator_2020-08,288,
Nominator_2020-08_Education Resources Consortium_Innovation Academy at Pembroke Academy,Nominator_2020-08,289,Public district school
Nominator_2020-11_Education Resources Consortium_Innovation Academy at Pembroke Academy,Nominator_2020-11,289,Public district school
Nominator_2020-08_Aurora Institute_Integrated Arts Academy,Nominator_2020-08,290,
Nominator_2025-10_Next Generation Learning Challenges_International High School at Langley Park,Nominator_2025-10,291,"Public district school, Public district school"
Nominator_2020-08_Springpoint Schools_International High School at Langley Park,Nominator_2020-08,291,"Public district school, Public district school"
Nominator_2022-11_NewSchools Venture Fund_Intrinsic Charter School,Nominator_2022-11,292,"Public charter school, Public charter school"
Nominator_2020-08_Transcend_Intrinsic Charter School,Nominator_2020-08,292,"Public charter school, Public charter school"
Nominator_2020-08_Education Reimagined_Iowa BIG,Nominator_2020-08,293,Public district school
Nominator_2020-08_Big Picture Learning_John J. Cairns High School,Nominator_2020-08,294,"Public district school, Public district school"
Nominator_2022-11_Big Picture Learning_John J. Cairns High School,Nominator_2022-11,294,"Public district school, Public district school"
Nominator_2020-08_Aurora Institute_Journey Elementary,Nominator_2020-08,295,
Nominator_2020-11_Aurora Institute_Journey Elementary,Nominator_2020-11,295,
Nominator_2020-08_Kansas Can School Redesign Project_Kennedy Elementary School,Nominator_2020-08,296,Public district school
Nominator_2020-08_Big Picture Learning_LaFayette Big Picture at LaFayette Junior/Senior High School,Nominator_2020-08,297,"Public district school, Public district school"
Nominator_2022-11_Big Picture Learning_LaFayette Big Picture at LaFayette Junior/Senior High School,Nominator_2022-11,297,"Public district school, Public district school"
Nominator_2020-08_Clayton Christensen Institute_Lakeridge Elementary,Nominator_2020-08,298,
